Type,Index,MouthHor,Cheeks,MouthVert,LeftEyeCheek,RightEyeCheek,LeftOpen,RightOpen,Smile
good,7,0.949576125,1.139665344,0.606358058,0.448323344,0.487865508,0.7855428,0.9670767,0.9736075
good,8,0.872937356,1.125861739,0.642231886,0.48008926,0.512345544,0.991083,0.9959698,0.9485204
good,9,NA,NA,NA,NA,NA,-1,-1,0.22863723
good,10,0.909609199,1.114912878,0.56062107,0.392864923,0.41159136,0.9871686,0.9887301,0.39220583
good,11,0.783474301,1.091893871,0.544602471,0.532607811,0.524319294,0.9873617,0.9893139,0.25591865
good,12,0.94499403,1.162592437,0.599169726,0.469002434,0.496820286,0.9886597,0.91989183,0.9814561
good,14,0.668212014,1.126073006,0.565733688,0.537580416,0.532048538,0.99011594,0.9938816,0.06834487
good,16,0.619735224,1.17391057,0.618646424,0.556103881,0.455988402,0.88521177,0.89037013,0.29445675
good,17,0.77785652,1.120609223,0.550481482,0.51667144,0.508777083,0.9934559,0.7752062,0.84441376
good,18,0,1.178158259,0.489065377,0.502964495,0.452383922,0.6195068,0.79145664,-1
good,20,0.629854745,1.062028072,0.499808682,0.435908196,0.441471566,0.5340973,0.5271824,0.04675602
good,21,0.960287287,1.197354655,0.607323301,0.500059117,0.516093453,0.9910289,0.9899988,0.07942099
good,23,0.825825785,1.157219685,0.570932655,0.526027151,0.484843149,0.91658187,0.9865792,0.50789607
good,24,0.900305896,1.148043909,0.540365645,0.446089595,0.444154072,0.9887978,0.8461644,0.9758052
good,26,0,1.110904929,0,0.445215666,0.5734266,0.88311785,0.986733,-1
good,27,0.909052225,1.181535594,0.597032007,0.477911272,0.509228036,0.8718786,0.75147855,0.96915716
good,27,0.97575393,1.212820068,0.589990065,0.496415059,0.539623569,0.96194863,0.52185446,0.6086638
good,28,0.850079522,1.220254365,0.528191666,0.517284569,0.510603946,0.9678016,0.67133546,0.13771582
good,29,0.906808827,1.208562817,0.585985618,0.538160952,0.581851573,0.679473,0.5873301,0.41380778
good,31,0.774183246,1.121395761,0.533543837,0.531469094,0.560642687,0.32824847,0.23174568,0.10968711
good,33,0.882975208,1.197072551,0.656854484,0.552534892,0.505906492,0.13599034,0.9869915,0.9587528
good,35,0.809640315,1.092884944,0.523754095,0.451015363,0.433195884,0.99450785,0.9529025,0.9535796
good,36,0.914456223,1.129085057,0.530027449,0.426598313,0.412982903,0.85856956,0.71369946,0.9730482
good,37,0.791066282,1.128764024,0.511443563,0.470910514,0.531691426,0.91493636,0.9879209,0.12725338
good,39,1.000883566,1.255228988,0.619404616,0.536780103,0.516873404,0.85890293,0.98821485,0.9790993
